Vendor	Batch	FoV_Batch	Plate_Map_Name	Assay_Plate_Barcode	Modality	Images_per_well	Sites-SubSampled	Binning	Magnification	Number_of_channels	z_plane	BF_Zplanes	Anomaly
MolDev	Scope1_MolDev_10X	3siteSubSample_Scope1_MolDev_10X	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_10XPA_Crest	Confocal	4	3	1	10	6	12	none	none
MolDev	Scope1_MolDev_10X_4siteZ	3siteSubSample_Scope1_MolDev_10X_4siteZ	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_10XPA_Crestz	Confocal	4	3	1	10	6	12	10	none
MolDev	Scope1_MolDev_20X_4site	3siteSubSample_Scope1_MolDev_20X_4site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_20XPA_Crestz	Confocal	4	3	1	20	6	12	10	none
MolDev	Scope1_MolDev_20X_9site	3siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_9site_20XPA	Confocal	9	3	1	20	6	12	10	none
MolDev	Scope1_MolDev_20X_9site	3siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_9site_20XPA_Crest	Confocal	9	3	1	20	6	1	none	none
Nikon	Scope1_Nikon_20X	3siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117061a	Widefield	9	3	1	20	4	1	none	none
Nikon	Scope1_Nikon_20X	3siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117062a	Widefield	9	3	1	20	4	1	none	none
Nikon	Scope1_Nikon_20X	3siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117063b	Widefield	9	3	1	20	4	1	none	none
Yokogawa_Japan	Scope1_Yokogawa_Japan_20X	3siteSubSample_Scope1_Yokogawa_Japan_20X	JUMP-MOA_compound_platemap	20201021T092317	Confocal	9	3	1	20	5	1	none	none
Yokogawa_US	Scope1_Yokogawa_US_10X	3siteSubSample_Scope1_Yokogawa_US_10X	JUMP-MOA_compound_platemap	BRO0117014_10x	Confocal	4	3	1	10	6	1	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	3siteSubSample_Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117033_20xb	Confocal	9	3	1	20	5	1	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	3siteSubSample_Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117056_20x	Confocal	9	3	1	20	5	1	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch_12Z	3siteSubSample_Scope1_Yokogawa_US_20X_5Ch_12Z	JUMP-MOA_compound_platemap	BRO0117056_20xb	Confocal	9	3	1	20	5	12	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO0117059	3siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_20X	Confocal	9	3	1	20	6	12	none	none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO01177034	3siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO01177034	JUMP-MOA_compound_platemap	BRO01177034_20x	Confocal	9	3	1	20	6	12	none	none
Yokogawa_US	Scope1_Yokogawa_US_40X_BRO0117059	3siteSubSample_Scope1_Yokogawa_US_40X_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_40x	Confocal	9	3	1	40	6	12	none	none
MolDev	Scope1_MolDev_20X_9site	4siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_9site_20XPA	Confocal	9	4	1	20	6	12	15	none
MolDev	Scope1_MolDev_20X_9site	4siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_9site_20XPA_Crest	Confocal	9	4	1	20	6	12	15	none
Nikon	Scope1_Nikon_20X	4siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117061a	Widefield	9	4	1	20	4	12	15	none
Nikon	Scope1_Nikon_20X	4siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117062a	Widefield	9	4	1	20	4	12	15	none
Nikon	Scope1_Nikon_20X	4siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117063b	Widefield	9	4	1	20	4	12	13	none
Yokogawa_Japan	Scope1_Yokogawa_Japan_20X	4siteSubSample_Scope1_Yokogawa_Japan_20X	JUMP-MOA_compound_platemap	20201021T092317	Confocal	9	4	1	20	5	12	13	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	4siteSubSample_Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117033_20xb	Confocal	9	4	1	20	5	12	13	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	4siteSubSample_Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117056_20x	Confocal	9	4	1	20	5	12	13	none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch_12Z	4siteSubSample_Scope1_Yokogawa_US_20X_5Ch_12Z	JUMP-MOA_compound_platemap	BRO0117056_20xb	Confocal	9	4	1	20	5	12	15	none
