,Vendor,Batch,Assay_Plate_Barcode,sphering,Percent_Replicating,value_95_replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,Anomaly,Unnamed: 0,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Percent_Matching,value_95_matching,cell_count
71,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP3,False,14.444444444444445,0.6787594001236478,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,9.30232558139535,0.6533282628030443,115489
72,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP4,True,55.55555555555556,0.167174514026357,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2237953547786573,116462
73,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP4,False,48.888888888888886,0.3022998648806356,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.3315959189782123,116462
74,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP1,True,54.44444444444444,0.16425719620759,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.225518125713037,113150
75,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP1,False,44.44444444444444,0.2697977322536743,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.3454119837217611,113150
76,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP2,True,57.77777777777777,0.1488955392388904,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,20.930232558139537,0.2036483048655021,115572
77,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP2,False,46.66666666666666,0.291658532252315,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.331344797924813,115572
78,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP3,True,54.44444444444444,0.159915814599266,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2175480085473747,114270
79,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP3,False,17.77777777777778,0.7940814181021433,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,6.976744186046512,0.7729165063283872,114270
80,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP4,True,56.66666666666666,0.1752688491045358,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,3,,none,,,,,,,1.0,20.930232558139537,0.2239806332577391,115627
81,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP4,False,43.333333333333336,0.315173125125229,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,3,,none,,,,,,,1.0,16.27906976744186,0.335519372495287,115627
82,Yokogawa_Japan,1siteSubSample_Scope1_Yokogawa_Japan_20X,20201021T092317,True,52.22222222222223,0.1556474883243314,JUMP-MOA_compound_platemap,Confocal,9,1.0,1,20,5,3,,none,,,,,,,1.0,20.930232558139537,0.1872938713830401,159030
83,Yokogawa_Japan,1siteSubSample_Scope1_Yokogawa_Japan_20X,20201021T092317,False,36.66666666666666,0.3210788966512771,JUMP-MOA_compound_platemap,Confocal,9,1.0,1,20,5,3,,none,,,,,,,1.0,13.953488372093023,0.3153199535544649,159030
84,Yokogawa_Japan,1siteSubSample_Scope1_Yokogawa_Japan_40X,20201020T134356,True,42.22222222222222,0.1308816699767156,JUMP-MOA_compound_platemap,Confocal,2,1.0,1,40,5,3,,none,,,,,,,1.0,18.6046511627907,0.1395788206630481,34078
85,Yokogawa_Japan,1siteSubSample_Scope1_Yokogawa_Japan_40X,20201020T134356,False,27.77777777777778,0.2949602493804262,JUMP-MOA_compound_platemap,Confocal,2,1.0,1,40,5,3,,none,,,,,,,1.0,16.27906976744186,0.2200736611116775,34078
86,Yokogawa_US,1siteSubSample_Scope1_Yokogawa_US_10X,BRO0117014_10x,True,54.44444444444444,0.1647571751989306,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,3,,none,,,,,,,1.0,18.6046511627907,0.2139097292698404,518568
